subjno,trialType,primeType,targetVerbType,confederateVerbTransitivity,confederateVerb,confederateAgent,confederateBeneficiary,confederateTheme,confederateAgentPos,confederateSentence,confederateImage,matcherArray1,matcherArray2,matcherArray3,matcherArray4,participantVerbTransitivity,participantVerb,participantAgent,participantBeneficiary,participantTheme,participantAgentPos,participantImage
E1N_16_1,filler,NA,NA,i,cries,chef,NA,NA,L,E1N_16_the_chef_cries,chef_cries,artist_cries,chef_cries,chef_shouts,artist_shouts,d,passes,artist,prisoner,apple,L,artist_passes_prisoner_apple
E1N_16_1,filler,NA,NA,d,presents,golfer,artist,cake,L,E1N_16_the_golfer_presents_the_artist_the_cake,golfer_presents_artist_cake,golfer_presents_artist_apple,artist_presents_golfer_apple,golfer_presents_artist_cake,artist_presents_golfer_cake,d,serves,sailor,artist,hat,L,sailor_serves_artist_hat
E1N_16_1,filler,NA,NA,d,loans,wizard,clown,cake,R,E1N_16_the_wizard_loans_the_clown_the_cake,wizard_loans_clown_cake,clown_loans_wizard_cake,wizard_loans_clown_cake,cowboy_loans_wizard_cake,wizard_loans_cowboy_cake,i,cries,clown,NA,NA,R,clown_cries
E1N_16_1,critical,PO,SV,d,hands,sailor,knight,book,R,E1N_16_the_sailor_hands_the_book_to_the_knight,sailor_hands_knight_book,prisoner_hands_knight_book,knight_hands_sailor_book,knight_hands_prisoner_book,sailor_hands_knight_book,d,hands,astronaut,sailor,hat,R,astronaut_hands_sailor_hat
E1N_16_1,filler,NA,NA,m,holds,pirate,NA,apple,R,E1N_16_the_pirate_holds_the_apple,pirate_holds_apple,pirate_holds_apple,pirate_catches_apple,pirate_catches_cake,pirate_holds_cake,i,ponders,wizard,NA,NA,R,wizard_ponders
E1N_16_1,filler,NA,NA,m,brushes,soldier,NA,cake,L,E1N_16_the_soldier_brushes_the_cake,soldier_brushes_cake,soldier_brushes_cake,soldier_brushes_hat,wizard_brushes_hat,wizard_brushes_cake,d,loans,prisoner,pirate,cake,L,prisoner_loans_pirate_cake
E1N_16_1,filler,NA,NA,i,ponders,knight,NA,NA,R,E1N_16_the_knight_ponders,knight_ponders,knight_ponders,sailor_ponders,sailor_shouts,knight_shouts,d,presents,wizard,golfer,vase,R,wizard_presents_golfer_vase
E1N_16_1,filler,NA,NA,i,spies,artist,NA,NA,R,E1N_16_the_artist_spies,artist_spies,prisoner_points,artist_spies,prisoner_spies,artist_points,i,sings,astronaut,NA,NA,R,astronaut_sings
E1N_16_1,filler,NA,NA,d,passes,wizard,artist,apple,R,E1N_16_the_wizard_passes_the_artist_the_apple,wizard_passes_artist_apple,wizard_passes_artist_apple,wizard_passes_golfer_apple,golfer_passes_wizard_apple,artist_passes_wizard_apple,m,brushes,cowboy,NA,hat,R,cowboy_brushes_hat
E1N_16_1,filler,NA,NA,d,serves,artist,chef,hat,L,E1N_16_the_artist_serves_the_chef_the_hat,artist_serves_chef_hat,artist_serves_chef_hat,chef_serves_artist_hat,wizard_serves_artist_hat,artist_serves_wizard_hat,d,loans,sailor,artist,hat,L,sailor_loans_artist_hat
E1N_16_1,filler,NA,NA,i,waves,prisoner,NA,NA,R,E1N_16_the_prisoner_waves,prisoner_waves,prisoner_waves,soldier_ponders,prisoner_ponders,soldier_waves,m,drops,wizard,NA,cake,R,wizard_drops_cake
